[begin_FlightDyn]
title   {t(s),v(m/s),¦È(deg),¦×(deg),¦Øx(rad/s),¦Øy(rad/s),¦Øz(rad/s),¦Õa(deg),¦Õ2(deg),¦Ã(deg),x(m),y(m),z(m)}
output
{0,800,0.872665,0,1600,0,0,0.872665,0,0,0,0,0;
0.285,788.645,49.8708,0.0037493,1593.86,0.00444093,-0.0032153,49.8554,0.0202179,26076.5,145.703,173.251,0.00607125;
0.29,788.449,49.8685,0.00378122,1593.76,0.00366805,-0.00334147,49.8545,0.019064,26533.1,148.244,176.265,0.00633037;
0.295,788.252,49.8662,0.00381069,1593.65,0.00326415,-0.00360871,49.8535,0.01808,26989.7,150.785,179.279,0.00659153;
0.3,788.056,49.8639,0.00383799,1593.54,0.00321382,-0.00376625,49.8524,0.0171588,27446.2,153.325,182.292,0.00685458;
0.305,787.86,49.8615,0.00386316,1593.44,0.00335891,-0.00362219,49.8514,0.0162191,27902.7,155.865,185.304,0.00711936;
0.31,787.664,49.8592,0.00388612,1593.33,0.00345977,-0.0031149,49.8504,0.0152382,28359.2,158.404,188.315,0.00738574;
0.315,787.468,49.8569,0.00390684,1593.23,0.00328618,-0.00233556,49.8496,0.0142634,28815.6,160.943,191.325,0.00765355;
0.32,787.273,49.8546,0.00392544,1593.12,0.00270416,-0.00149388,49.8491,0.0133954,29272,163.481,194.335,0.00792264;
0.325,787.077,49.8523,0.0039423,1593.01,0.00172654,-0.000839988,49.8488,0.012753,29728.4,166.019,197.343,0.00819289;
0.33,786.881,49.85,0.00395803,1592.91,0.000508856,-0.000571912,49.8486,0.0124301,30184.8,168.556,200.351,0.00846418;
0.335,786.686,49.8477,0.0039734,1592.8,-0.000707485,-0.000762803,49.8484,0.0124617,30641.1,171.092,203.358,0.00873646;
0.34,786.491,49.8454,0.00398915,1592.7,-0.00168343,-0.00133479,49.8481,0.0128121,31097.4,173.628,206.364,0.00900974;
0.345,786.295,49.8431,0.00400591,1592.59,-0.00226896,-0.00208875,49.8476,0.013388,31553.6,176.164,209.369,0.00928407;
0.35,786.1,49.8408,0.00402403,1592.49,-0.00245617,-0.00277853,49.8469,0.0140729,32009.9,178.699,212.373,0.00955952;
0.355,785.905,49.8385,0.00404364,1592.38,-0.00237945,-0.00320191,49.846,0.0147692,32466.1,181.234,215.377,0.0098362;
0.36,785.71,49.8362,0.0040647,1592.27,-0.00226308,-0.00327437,49.8451,0.0154321,32922.2,183.768,218.379,0.0101142;
0.365,785.515,49.8339,0.00408713,1592.17,-0.00233597,-0.00305872,49.8442,0.0160842,33378.4,186.301,221.381,0.0103936;
0.37,785.32,49.8316,0.004111,1592.06,-0.00274553,-0.00273973,49.8434,0.0168035,33834.5,188.834,224.382,0.0106746;
0.375,785.126,49.8294,0.00413655,1591.96,-0.00350239,-0.00255373,49.8426,0.0176916,34290.6,191.367,227.382,0.0109571;
0.38,784.931,49.8271,0.00416426,1591.85,-0.00447631,-0.00269964,49.8419,0.0188319,34746.6,193.899,230.382,0.0112415;
0.385,784.737,49.8248,0.0041947,1591.75,-0.00544444,-0.00326427,49.841,0.0202562,35202.6,196.431,233.38,0.0115277;
0.39,784.542,49.8225,0.00422848,1591.64,-0.00617356,-0.00418979,49.84,0.0219283,35658.6,198.962,236.378,0.0118161;
0.395,784.348,49.8203,0.00426602,1591.54,-0.00650565,-0.00529485,49.8386,0.0237546,36114.6,201.492,239.374,0.0121068;
0.4,784.154,49.818,0.00430753,1591.43,-0.00641521,-0.00634118,49.8369,0.0256142,36570.5,204.022,242.37,0.0124001;
0.405,783.96,49.8157,0.00435293,1591.33,-0.00601702,-0.00712083,49.835,0.0273998,37026.4,206.552,245.365,0.0126964;
0.41,783.766,49.8134,0.00440198,1591.22,-0.00552221,-0.00753138,49.8329,0.029052,37482.2,209.081,248.359,0.0129958;
0.415,783.572,49.8112,0.00445438,1591.12,-0.00515898,-0.00761149,49.8307,0.0305766,37938.1,211.609,251.353,0.0132986;
0.42,783.378,49.8089,0.00450988,1591.01,-0.00508786,-0.00752395,49.8285,0.0320366,38393.9,214.137,254.345,0.0136051;
0.425,783.184,49.8066,0.00456843,1590.91,-0.00534271,-0.00749285,49.8264,0.0335239,38849.7,216.665,257.337,0.0139153;
0.43,782.99,49.8044,0.00463019,1590.8,-0.00581938,-0.00771853,49.8242,0.0351198,39305.4,219.191,260.328,0.0142296;
0.435,782.797,49.8021,0.00469542,1590.7,-0.00631559,-0.00830206,49.8219,0.0368605,39761.1,221.718,263.318,0.0145481;
0.44,782.603,49.7998,0.00476442,1590.59,-0.00660708,-0.00920707,49.8194,0.0387187,40216.8,224.244,266.307,0.0148712;
0.445,782.41,49.7975,0.00483734,1590.49,-0.00653142,-0.0102729,49.8166,0.0406102,40672.5,226.769,269.295,0.015199;
0.45,782.217,49.7953,0.00491411,1590.39,-0.00604839,-0.0112737,49.8135,0.0424209,41128.1,229.294,272.283,0.0155318;
0.455,782.024,49.793,0.00499444,1590.28,-0.0052547,-0.0120015,49.8102,0.044045,41583.7,231.819,275.269,0.01587;
0.46,781.831,49.7907,0.00507783,1590.18,-0.00434798,-0.0123418,49.8067,0.0454203,42039.3,234.343,278.255,0.0162136;
0.465,781.638,49.7884,0.0051637,1590.07,-0.0035537,-0.0123143,49.8032,0.046547,42494.8,236.866,281.24,0.0165629;
0.47,781.445,49.7861,0.00525158,1589.97,-0.00304245,-0.0120636,49.7997,0.0474841,42950.3,239.389,284.224,0.0169181;
0.475,781.252,49.7838,0.00534113,1589.86,-0.00286821,-0.0118035,49.7963,0.0483234,43405.8,241.911,287.208,0.0172792;
0.48,781.059,49.7815,0.00543224,1589.76,-0.0029505,-0.0117369,49.7929,0.0491529,43861.2,244.433,290.19,0.0176464;
0.485,780.867,49.7792,0.00552494,1589.65,-0.00310646,-0.0119793,49.7895,0.0500215,44316.7,246.955,293.172,0.0180198;
